,SkilledHealthStaffInPercOfTotal,beds_per_1000,Women_Political_Empowerment,Democracy_Index,Public_health_spending,GDP_per_capita,GINI,Capacity,Maternal_mortality_ratio,Population,birthRatePer1000population
SLE,,,0.778,0.376,9.0,845.914540460932,35.7,-0.078299999,459.50473,7554563.0,33.34
SLV,99.9,1.07,0.736,0.432,55.0,4183.54620971358,38.6,0.5005000233650208,44.65384,6219807.0,16.683
SMR,,,,,89.0,47950.6880557136,,,,34522.0,6.8
SOM,,0.87,,,5.0,509.525802439801,,-2.092999935,650.67755,15452487.0,45.67
SRB,,5.3,0.842,0.284,59.0,7559.86165747394,35.0,0.9433000087738036,11.469519,6982604.0,9.2
SSD,,,0.463,0.051,10.0,,,-1.401000023,1274.817,10122977.0,29.068
STP,,,0.834,0.542,44.0,1825.59971753966,,,149.1564,210187.0,29.804
SUR,98.4,2.88,0.851,0.622,68.0,6665.74180472239,,-0.09928,97.626686,599513.0,18.092
SVK,98.0,5.7,0.874,0.706,79.0,19573.3717031314,25.0,1.3329999446868896,4.650179,5446771.0,10.6
SVN,,4.36,0.93,0.758,72.0,25888.0481065655,24.6,1.5889999866485596,4.366176,2073894.0,9.4
SWE,,2.14,0.925,0.878,85.0,54181.9069780904,30.0,2.549000024795532,4.534765,10175214.0,11.4
SWZ,,,0.324,0.112,46.0,3986.10557163026,,-0.09093,218.30118,1168929.0,26.412
SXM,,,,,,31708.3110124742,,,,39712.0,10.456
SYC,,3.24,0.847,0.517,73.0,18440.2340460932,32.1,,3.5403209,96762.0,17.1
SYR,,1.26,0.303,0.026,51.0,1098.0668642357,,-1.220000029,31.331284,19577845.0,18.932
TCA,,,,,,27160.1579568902,,,,41559.0,12.511
TCD,,,0.521,0.079,14.0,695.642393675941,37.5,-0.587199986,1076.1641,16156531.0,44.401
TGO,,0.65,0.756,0.222,17.0,851.130806891807,42.5,-0.231800005,434.5416,8258778.0,33.413
THA,,2.1,0.677,0.115,71.0,7099.77650081458,36.4,0.5260999798774719,28.804407,71376079.0,9.4
TJK,,4.43,0.444,0.049,27.0,834.288404578801,,-0.064570002,17.351973,9307333.0,29.459
TKM,,4.19,0.391,0.03,18.0,6125.05169712085,,-0.569999993,5.000818,6655524.0,25.502
TLS,,,0.737,0.507,62.0,1219.46598597604,,0.2167000025510788,249.48761,1275959.0,24.481
TON,,,,,53.0,4638.89774268789,,,83.91316,105567.0,24.144
TTO,,2.38,0.883,0.628,48.0,18076.3565550233,,0.6025999784469604,27.612192,1359193.0,12.06
TUN,99.5,1.79,0.861,0.631,52.0,3628.10366464236,,0.5609999895095825,39.022385,11765514.0,17.344
TUR,99.2,2.8,0.639,0.109,77.0,9568.83506330228,42.4,1.10099995136261,16.87219,81407204.0,15.4
